12.48,11,1
9.31,7,1
13.24,3,1
17.62,2,1
8.83,3,0
8.83,4,1
17.9,5,1
13.84,5,1
7.65,4,0
12.71,3,1
7.68,8,1
7.67,2,1
11.21,1,1
0.43,4,0
1.38,5,0
7.19,4,0
4.94,3,0
11.57,4,1
5.46,8,1
2.94,2,0
17.33,2,0
8.87,2,0
10.34,7,0
2.88,6,1
7.28,7,1
10.55,6,1
4.25,7,1
11.88,6,1
7.0,4,0
8.54,2,0
6.99,3,0
19.26,4,1
9.93,7,1
4.71,4,1
14.11,3,1
3.9,2,0
11.04,6,1
0.2,3,0
3.36,5,0
10.98,9,1
13.69,6,1
10.86,6,1
9.42,9,1
8.49,4,1
2.61,9,1
6.4,2,0
7.7,10,1
15.29,6,1
11.72,9,1
1.18,4,0
11.62,1,0
8.07,6,1
6.62,8,1
13.06,6,1
15.15,2,1
14.66,3,1
5.8,5,1
8.45,3,1
11.66,3,1
14.88,5,1
7.6,6,1
9.07,5,1
4.47,3,0
4.02,5,1
14.06,3,1
16.78,3,1
9.64,6,1
15.02,5,1
11.81,6,1
6.77,2,0
11.81,4,1
17.69,7,1
9.82,6,1
17.82,5,1
0.0,4,0
14.11,3,0
10.44,3,1
8.5,7,1
10.46,7,1
0.06,6,0
8.9,6,1
11.79,7,1
17.39,8,1
7.41,6,1
5.96,3,1
7.49,7,1
14.58,5,1
11.64,5,1
7.35,7,1
12.57,4,1
10.49,9,1
14.84,4,1
6.49,5,1
8.36,2,1
8.04,6,1
2.68,3,0
11.48,6,1
11.31,2,1
10.03,3,1
8.83,5,1
2.92,3,1
7.9,4,1
8.29,5,1
5.99,6,1
9.19,3,1
12.02,3,1
19.43,4,1
10.87,5,1
11.29,4,1
9.63,2,0
0.41,6,0
9.87,6,1
10.3,8,1
22.32,1,1
9.04,6,1
11.51,2,0
9.83,5,1
4.16,2,0
15.71,6,1
13.76,4,1
13.96,3,1
5.45,5,1
17.01,6,1
2.99,3,0
12.93,4,1
20.95,8,1
5.05,4,1
7.17,10,1
10.5,4,1
7.48,5,0
2.25,10,1
10.34,3,1
4.69,4,0
12.37,7,1
5.4,5,1
17.75,10,1
6.08,4,1
8.39,2,0
14.07,3,1
3.85,5,1
11.14,8,0
16.54,4,1
1.96,3,0
10.92,8,1
11.3,6,1
13.91,8,1
3.82,3,0
3.4,3,1
12.61,5,1
11.48,11,1
11.25,7,1
11.73,4,1
6.6,3,0
11.16,8,1
11.47,8,1
6.43,3,1
19.33,3,1
12.37,6,1
4.04,2,0
13.28,7,1
5.13,5,1
13.94,5,1
15.79,6,1
5.9,1,0
14.82,10,1
12.06,2,1
14.11,5,1
19.48,4,1
8.77,5,1
6.23,4,1
5.55,5,1
5.92,6,1
9.61,1,1
11.71,3,1
11.38,2,1
14.14,5,1
10.07,4,1
17.27,7,1
8.68,7,1
23.6,2,1
13.13,6,1
5.71,7,1
4.65,2,0
12.41,7,1
8.88,5,1
13.57,7,1
12.37,6,1
9.64,5,1
5.77,6,1
2.43,5,1
7.77,4,0
14.28,7,1
11.07,1,0
3.77,8,1
10.87,4,0
11.93,5,1
5.58,3,0
10.77,7,1
10.29,2,1
4.29,5,0
